存储每个epoch的时间
Epoch: [1]  结束运行时间：2021-04-03 21:45:36.997396  耗时：1234.4150800704956s
Epoch: [2]  结束运行时间：2021-04-03 22:06:00.652788  耗时：1223.6433980464935s
Epoch: [3]  结束运行时间：2021-04-03 22:26:24.514701  耗时：1223.8508212566376s
Epoch: [4]  结束运行时间：2021-04-03 22:46:48.663617  耗时：1224.1359250545502s
Epoch: [5]  结束运行时间：2021-04-03 23:07:12.813187  耗时：1224.1355676651s
Epoch: [6]  结束运行时间：2021-04-03 23:27:37.057211  耗时：1224.2290346622467s
Epoch: [7]  结束运行时间：2021-04-04 00:01:20.950628  耗时：2023.8794212341309s
Epoch: [8]  结束运行时间：2021-04-04 00:25:12.493413  耗时：1431.5317888259888s
Epoch: [9]  结束运行时间：2021-04-04 00:45:36.947068  耗时：1224.4406559467316s
Epoch: [10]  结束运行时间：2021-04-04 01:06:00.902857  耗时：1223.9437930583954s
Epoch: [11]  结束运行时间：2021-04-04 01:26:25.133066  耗时：1224.2201700210571s
Epoch: [12]  结束运行时间：2021-04-04 01:46:49.566083  耗时：1224.4200167655945s
Epoch: [13]  结束运行时间：2021-04-04 02:07:13.976664  耗时：1224.3975822925568s
Epoch: [14]  结束运行时间：2021-04-04 02:27:38.238124  耗时：1224.2473728656769s
Epoch: [15]  结束运行时间：2021-04-04 02:48:02.271910  耗时：1224.0197863578796s
Epoch: [16]  结束运行时间：2021-04-04 03:08:26.720473  耗时：1224.4315209388733s
Epoch: [17]  结束运行时间：2021-04-04 03:28:51.134862  耗时：1224.4003469944s
Epoch: [18]  结束运行时间：2021-04-04 03:49:15.436783  耗时：1224.2879247665405s
Epoch: [19]  结束运行时间：2021-04-04 04:09:39.412017  耗时：1223.9611928462982s
Epoch: [20]  结束运行时间：2021-04-04 04:30:03.291858  耗时：1223.8628823757172s
Epoch: [21]  结束运行时间：2021-04-04 04:50:27.708672  耗时：1224.4047877788544s
Epoch: [22]  结束运行时间：2021-04-04 05:10:52.479253  耗时：1224.754584312439s
Epoch: [23]  结束运行时间：2021-04-04 05:31:16.320332  耗时：1223.8270802497864s
Epoch: [24]  结束运行时间：2021-04-04 05:51:39.899188  耗时：1223.547856092453s
Epoch: [25]  结束运行时间：2021-04-04 06:12:03.523189  耗时：1223.6129553318024s
Epoch: [26]  结束运行时间：2021-04-04 06:32:27.947659  耗时：1224.4114339351654s
Epoch: [27]  结束运行时间：2021-04-04 06:52:52.310492  耗时：1224.348833322525s
Epoch: [28]  结束运行时间：2021-04-04 07:13:16.827498  耗时：1224.4980092048645s
Epoch: [29]  结束运行时间：2021-04-04 07:33:41.680286  耗时：1224.8357529640198s
Epoch: [30]  结束运行时间：2021-04-04 07:54:06.393789  耗时：1224.7015047073364s
Epoch: [31]  结束运行时间：2021-04-04 08:14:31.295580  耗时：1224.8887939453125s
Epoch: [32]  结束运行时间：2021-04-04 08:34:56.057297  耗时：1224.7261505126953s
Epoch: [33]  结束运行时间：2021-04-04 08:55:20.808332  耗时：1224.7380385398865s
Epoch: [34]  结束运行时间：2021-04-04 09:15:45.707265  耗时：1224.8829312324524s
Epoch: [35]  结束运行时间：2021-04-04 09:36:10.707035  耗时：1224.9837713241577s
Epoch: [36]  结束运行时间：2021-04-04 09:56:35.464699  耗时：1224.7446677684784s
Epoch: [37]  结束运行时间：2021-04-04 10:17:00.357356  耗时：1224.8746347427368s
Epoch: [38]  结束运行时间：2021-04-04 10:37:25.168034  耗时：1224.7935898303986s
Epoch: [39]  结束运行时间：2021-04-04 10:57:50.084883  耗时：1224.9048504829407s
Epoch: [40]  结束运行时间：2021-04-04 11:18:14.816318  耗时：1224.7143874168396s
Epoch: [41]  结束运行时间：2021-04-04 11:38:39.643073  耗时：1224.8107573986053s
Epoch: [42]  结束运行时间：2021-04-04 12:10:10.463420  耗时：1221.6066465377808s
